mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__max_features,param_clf__min_samples_leaf,param_clf__min_samples_split,param_clf__n_estimators,param_features__col1_tfidf__min_df,param_features__col4_tfidf__min_df,param_features__col6_tfidf__min_df,param_features__date,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
3.5377699534098306,0.17342202601834858,0.23950409889221191,0.030637829414662407,,0.3,4,10,356,3,1,1,DateFeatures(),"{'clf__max_depth': None, 'clf__max_features': 0.3, 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 10, 'clf__n_estimators': 356, 'features__col1_tfidf__min_df': 3, 'features__col4_tfidf__min_df': 1, 'features__col6_tfidf__min_df': 1, 'features__date': DateFeatures()}",0.6386630940614844,0.5671829134161437,0.6541902783765072,0.6200120952847118,0.0378898861251465,21
7.109479904174805,0.24381333355331627,0.2517837683359782,0.006964412639947579,,0.3,1,9,671,3,3,3,DateFeatures(),"{'clf__max_depth': None, 'clf__max_features': 0.3, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 9, 'clf__n_estimators': 671, 'features__col1_tfidf__min_df': 3, 'features__col4_tfidf__min_df': 3, 'features__col6_tfidf__min_df': 3, 'features__date': DateFeatures()}",0.7443812395565621,0.5855614840781082,0.7195189488373551,0.6831538908240086,0.06975070735982791,9
3.3146518071492515,0.07541717688027827,0.2433482805887858,0.021578752026808326,20,0.1,1,6,689,3,2,1,drop,"{'clf__max_depth': 20, 'clf__max_features': 0.1, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 6, 'clf__n_estimators': 689, 'features__col1_tfidf__min_df': 3, 'features__col4_tfidf__min_df': 2, 'features__col6_tfidf__min_df': 1, 'features__date': 'drop'}",0.7046115479039475,0.672531469407757,0.7234577906700668,0.7002002693272571,0.021023274139849106,5
1.6259767214457195,0.0488904188736001,0.12294634183247884,0.009825174629449061,,0.3,4,3,232,5,3,3,drop,"{'clf__max_depth': None, 'clf__max_features': 0.3, 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 3, 'clf__n_estimators': 232, 'features__col1_tfidf__min_df': 5, 'features__col4_tfidf__min_df': 3, 'features__col6_tfidf__min_df': 3, 'features__date': 'drop'}",0.6784528733645567,0.5612834689136792,0.6509201103349824,0.6302188175377395,0.050023827505507934,18
3.9649389584859214,0.0970037300568085,0.2729489008585612,0.027456268476895605,50,0.1,4,9,746,1,3,1,DateFeatures(),"{'clf__max_depth': 50, 'clf__max_features': 0.1, 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 9, 'clf__n_estimators': 746, 'features__col1_tfidf__min_df': 1, 'features__col4_tfidf__min_df': 3, 'features__col6_tfidf__min_df': 1, 'features__date': DateFeatures()}",0.6435365534251855,0.5736066721544408,0.6052892404908595,0.6074774886901619,0.028590655772721997,26
2.647276004155477,0.04010087954771623,0.28632481892903644,0.015547140721916574,20,sqrt,1,11,702,3,2,3,DateFeatures(),"{'clf__max_depth': 20, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 11, 'clf__n_estimators': 702, 'features__col1_tfidf__min_df': 3, 'features__col4_tfidf__min_df': 2, 'features__col6_tfidf__min_df': 3, 'features__date': DateFeatures()}",0.7151063592827709,0.5906625074272134,0.74819515494177,0.6846546738839181,0.06782139591583872,8
3.7510505517323813,0.1175306023510215,0.23945935567220053,0.01035737948585992,,0.1,3,11,753,5,1,3,DateFeatures(),"{'clf__max_depth': None, 'clf__max_features': 0.1, 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 11, 'clf__n_estimators': 753, 'features__col1_tfidf__min_df': 5, 'features__col4_tfidf__min_df': 1, 'features__col6_tfidf__min_df': 3, 'features__date': DateFeatures()}",0.6654797998331037,0.56983898866429,0.6645553067849734,0.6332913650941223,0.04486919305264934,17
6.466949462890625,0.05473392133503746,0.21370244026184082,0.00958287800068842,,0.3,1,5,684,3,3,1,DateFeatures(),"{'clf__max_depth': None, 'clf__max_features': 0.3, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5, 'clf__n_estimators': 684, 'features__col1_tfidf__min_df': 3, 'features__col4_tfidf__min_df': 3, 'features__col6_tfidf__min_df': 1, 'features__date': DateFeatures()}",0.7411227145946381,0.5805690812712581,0.737045981607357,0.6862459258244177,0.07474334549642485,7
1.2012263933817546,0.03976307736870794,0.17420458793640137,0.02115314636071574,20,sqrt,4,8,442,2,5,2,drop,"{'clf__max_depth': 20, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 8, 'clf__n_estimators': 442, 'features__col1_tfidf__min_df': 2, 'features__col4_tfidf__min_df': 5, 'features__col6_tfidf__min_df': 2, 'features__date': 'drop'}",0.5661993416751667,0.5315296986504416,0.5569923258413715,0.5515737887223265,0.014663252146058127,36
0.857192595799764,0.03466677079724021,0.12925100326538086,0.005981496262596915,50,log2,1,6,227,5,5,5,drop,"{'clf__max_depth': 50, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 6, 'clf__n_estimators': 227, 'features__col1_tfidf__min_df': 5, 'features__col4_tfidf__min_df': 5, 'features__col6_tfidf__min_df': 5, 'features__date': 'drop'}",0.7536361223932475,0.6283076782822408,0.7924944992396632,0.7248127666383839,0.07005910562639114,2
4.487843990325928,0.14264470721499697,0.20145678520202637,0.0019834993212120406,20,0.3,2,8,547,1,3,2,DateFeatures(),"{'clf__max_depth': 20, 'clf__max_features': 0.3, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 8, 'clf__n_estimators': 547, 'features__col1_tfidf__min_df': 1, 'features__col4_tfidf__min_df': 3, 'features__col6_tfidf__min_df': 2, 'features__date': DateFeatures()}",0.7240156299423012,0.6231937057131552,0.7321348747997825,0.693114736818413,0.04955262170918741,6
1.3896794319152832,0.04040009408026002,0.16903607050577799,0.0035955376346045974,,sqrt,3,10,458,3,2,5,DateFeatures(),"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 10, 'clf__n_estimators': 458, 'features__col1_tfidf__min_df': 3, 'features__col4_tfidf__min_df': 2, 'features__col6_tfidf__min_df': 5, 'features__date': DateFeatures()}",0.641887665307388,0.5459302105373627,0.6235397733647482,0.6037858830698329,0.041590226558836485,28
1.740436315536499,0.017731291932984408,0.20014158884684244,0.007435304140975549,,log2,1,2,433,5,5,3,DateFeatures(),"{'clf__max_depth': None, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 433, 'features__col1_tfidf__min_df': 5, 'features__col4_tfidf__min_df': 5, 'features__col6_tfidf__min_df': 3, 'features__date': DateFeatures()}",0.8161131889139812,0.6728288085185239,0.7874455399549894,0.7587958457958316,0.06190426559286252,1
5.961385885874431,0.15292749005913794,0.2248047192891439,0.02264677449639445,,0.3,1,2,641,5,5,2,DateFeatures(),"{'clf__max_depth': None, 'clf__max_features': 0.3, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 641, 'features__col1_tfidf__min_df': 5, 'features__col4_tfidf__min_df': 5, 'features__col6_tfidf__min_df': 2, 'features__date': DateFeatures()}",0.7026675587120237,0.5806050110293024,0.7460130718954249,0.6764285472122503,0.07003009326109573,11
1.0452196598052979,0.04560891078835977,0.11303257942199707,0.003148139786471298,10,0.1,1,6,280,3,1,2,drop,"{'clf__max_depth': 10, 'clf__max_features': 0.1, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 6, 'clf__n_estimators': 280, 'features__col1_tfidf__min_df': 3, 'features__col4_tfidf__min_df': 1, 'features__col6_tfidf__min_df': 2, 'features__date': 'drop'}",0.7184491417005595,0.602468440091898,0.7038282308880672,0.6749152708935083,0.05157421983991981,12
